bmo,cibc,rbc,scotiabank,td
@BMO,CIBC,RBCNewsroom,Scotiabank,TDbank
BMO Field,CIBCInnovation,RBC Newsroom,ScotiabankHelps,TD Bank
BMOVanMarathon,BanqueCIBC,RBC_Newsroom,ScotiabankArena,TD_Bank
BMOmedia,TorontoRun,@RBC,ScotiabankCtr,TDCanada
BMOHarrisBank,CIBC_FCIB,RBCCanada,ScotiabankTT,TD Canada
Bank Of Montreal,CIBCFCIBBS,RBC Canada,ScotiabankGY,TDEconomics
BankOfMontreal,CIBCFCIBJM,RBC_Canada,sccniagara,TD Economics
BMO Bank,CIBCCareers,RBCGAMAdvisor,ScotiaEconomics,TDDirectInvest
BMO_Bank,CCS_RFTC_OG,RBCGAMNews,scotiahockey,TD DirectInvest
BMO Capital Markets,CIBCMellon,RBC4Students,GillerPrize,TD_DirectInvest
BMO_Media,CIBCFCIBBB,RBCCareers,RunCRS,TDCareers
lifeatbmo,CIBC_PWM_US,RBCInsurance,scotiacapital,TD Careers
,RFTCBlueMtn,RBC_Trading,ScotiabankViews,TD_Careers
,Canadian Imperial Bank of Commerce,RBC_Insurance,ScotiabankBB,TD Garden
,CIBC Private Wealth US,RBC Insurance,ScotiaColpatria,TD_Garden
,CIBC Mellon,rbc bank,RunCRSWest,TDNewsCanada
,CIBC_Mellon,royal bank of canada,ScotiabankPE,TDNews Canada
,CIBC Bank,RBC Wealth,ScotiabankFC,TDNews_Canada
,CIBC_Bank,RBC_Wealth,ScotiabankBS,TDBankUS
,CIBCBank,RBCWealth,ScotiabankMX,TDBank US
,CIBC Wood Gundy,RBC capital markets,CHINPicnic,TDBank_US
,CIBC Run for the Cure,RBC_capital_markets,ScotiaCaribbean,TDNewsUS
,CIBC Future Heroes,RBCcapitalmarkets,ScotiabankJM,TDNews US
,CIBC World Markets,RBC Global Asset Management,,TDBank US
,,RBC GAM,,TD_Insurance
,,RBC_GAM,,TDInsurance
,,RBCGAM,,TD Insurance
,,rbc visa card,,TD_Canada
,,rbc_bank,,TD Asset Management
,,rbcbank,,TDAM_Canada
,,,,TD Visa card